,indices,data_values
RobustVolumeShapley(mc_epochs=300),12752,6.056356578903798e-09
RobustVolumeShapley(mc_epochs=300),22530,6.43657668383306e-09
RobustVolumeShapley(mc_epochs=300),13044,5.780020726395305e-09
RobustVolumeShapley(mc_epochs=300),8364,6.425111538505093e-09
RobustVolumeShapley(mc_epochs=300),22536,6.997124139485969e-09
RobustVolumeShapley(mc_epochs=300),20957,7.877533786573098e-09
RobustVolumeShapley(mc_epochs=300),39220,8.635652189735764e-09
RobustVolumeShapley(mc_epochs=300),787,7.766263271550088e-09
RobustVolumeShapley(mc_epochs=300),22257,5.164370768606928e-09
RobustVolumeShapley(mc_epochs=300),19208,6.378104442467156e-09
RobustVolumeShapley(mc_epochs=300),7249,8.297173468904083e-09
RobustVolumeShapley(mc_epochs=300),47161,6.305223600739669e-09
RobustVolumeShapley(mc_epochs=300),21171,6.093760018593398e-09
RobustVolumeShapley(mc_epochs=300),14142,8.791054518446536e-09
RobustVolumeShapley(mc_epochs=300),2620,7.734949270455267e-09
RobustVolumeShapley(mc_epochs=300),45016,6.02868209043426e-09
RobustVolumeShapley(mc_epochs=300),26360,7.301092738274516e-09
RobustVolumeShapley(mc_epochs=300),25904,8.791297050366928e-09
RobustVolumeShapley(mc_epochs=300),42362,8.29922183124212e-09
RobustVolumeShapley(mc_epochs=300),22875,8.043705879456445e-09
RobustVolumeShapley(mc_epochs=300),3665,8.678277176428538e-09
RobustVolumeShapley(mc_epochs=300),44585,6.679620125453104e-09
RobustVolumeShapley(mc_epochs=300),26735,8.463684931737254e-09
RobustVolumeShapley(mc_epochs=300),967,6.261416272399032e-09
RobustVolumeShapley(mc_epochs=300),11772,8.38578367947161e-09
RobustVolumeShapley(mc_epochs=300),45850,5.394842724318448e-09
RobustVolumeShapley(mc_epochs=300),30511,7.997216248648378e-09
RobustVolumeShapley(mc_epochs=300),5359,6.98341393666715e-09
RobustVolumeShapley(mc_epochs=300),40782,6.833033692711751e-09
RobustVolumeShapley(mc_epochs=300),6079,7.74114948237375e-09
RobustVolumeShapley(mc_epochs=300),28256,7.116568665473792e-09
RobustVolumeShapley(mc_epochs=300),4601,6.797152659315499e-09
